"N";"Pregunta";"Alternativa A";"Alternativa B";"Alternativa C";"Alternativa D";"Correcta";"Tema"
"1";"¿Qué instrucción muestra un mensaje en pantalla?";"input()";"print()";"int()";"bool()";"B";"print"
"2";"¿Qué imprime este código? print('Hola', 'curso')";"Holacurso";"Hola curso";"Hola, curso";"'Hola' 'curso'";"B";"print"
"3";"¿Qué hace el parámetro sep en print()?";"Define el separador entre valores impresos";"Convierte texto a número";"Detiene el programa";"Borra una variable";"A";"print"
"4";"¿Qué logra end=' ' en un print()?";"Que el siguiente print continúe en la misma línea";"Que el texto se convierta en entero";"Que aparezca una línea vacía antes";"Que Python ignore el print";"A";"print"
"5";"¿Cuál es un buen nombre de variable en Python?";"2saldo";"saldo cuenta";"saldo_cuenta";"if";"C";"variables"
"6";"¿Qué valor queda en saldo? saldo = 1000; saldo = saldo + 500";"500";"1000";"1500";"saldo + 500";"C";"variables"
"7";"¿Qué operador se usa para multiplicar en Python?";"x";"*";"·";"**";"B";"números"
"8";"¿Qué resultado da 10 % 3?";"1";"3";"3.33";"10";"A";"números"
"9";"¿Qué hace Python con una línea que empieza con #?";"La ejecuta dos veces";"La usa como entrada";"La ignora como comentario";"La convierte en string";"C";"comentarios"
"10";"¿Qué tipo de dato devuelve input() antes de convertirlo?";"int";"float";"bool";"str";"D";"input"
"11";"Si quieres calcular con una edad ingresada por teclado, ¿qué opción corresponde?";"edad = input() + int";"edad = int(input())";"edad = print(input())";"edad = bool(input())";"B";"input"
"12";"¿Qué conversión conviene para guardar 12.5 horas jugadas?";"int()";"float()";"bool()";"print()";"B";"input"
"13";"¿Qué problema aparece al intentar hacer input() + 10 sin convertir?";"Se suma correctamente";"Python interpreta 10 como texto automáticamente";"Puede producir TypeError";"Siempre devuelve True";"C";"errores"
"14";"¿Cómo se escribe verdadero en Python?";"true";"TRUE";"True";"verdadero";"C";"booleanos"
"15";"¿Qué operador compara si dos valores son iguales?";"=";"==";"!=";">=";"B";"comparaciones"
"16";"¿Qué resultado da 45000 >= 60000?";"True";"False";"45000";"Error siempre";"B";"comparaciones"
"17";"La regla dice: 'edad de 18 o más'. ¿Qué condición representa mejor la regla?";"edad > 18";"edad >= 18";"edad == 18";"edad < 18";"B";"comparaciones"
"18";"¿Qué resultado da bool(0)?";"True";"False";"0";"None";"B";"bool"
"19";"¿Qué resultado da bool(-3)?";"True";"False";"-3";"Error";"A";"bool"
"20";"¿Cuándo devuelve True el operador and?";"Cuando al menos una condición es True";"Solo cuando ambas condiciones son True";"Solo cuando ambas condiciones son False";"Cuando se usa con números";"B";"and"
"21";"¿Qué resultado da True or False?";"True";"False";"Error";"None";"A";"or"
"22";"¿Qué resultado da not True?";"True";"False";"0";"1";"B";"not"
"23";"Para publicar se necesita cuenta activa y no estar suspendido. ¿Cuál condición es correcta?";"cuenta_activa or suspendido";"cuenta_activa and suspendido";"cuenta_activa and not suspendido";"not cuenta_activa and suspendido";"C";"operadores lógicos"
"24";"Recibes notificación si estás en el servidor o si te mencionaron. ¿Qué operador corresponde?";"and";"or";"not";"==";"B";"operadores lógicos"
"25";"La regla dice: 'descuento para compras de $15000 o más'. ¿Con qué valor hay que probar el caso límite?";"14999";"15000";"15001";"0";"B";"casos límite"
"26";"Si una nota 4.0 aprueba, ¿qué condición es más precisa?";"nota > 4.0";"nota >= 4.0";"nota == 7.0";"nota < 4.0";"B";"casos límite"
"27";"¿Qué hace un if en Python?";"Ejecuta un bloque solo si la condición es True";"Ejecuta siempre los dos bloques";"Convierte texto a número";"Repite el código muchas veces";"A";"if"
"28";"¿Cuándo se ejecuta el bloque else?";"Cuando la condición del if es True";"Cuando la condición del if es False";"Antes del if";"Solo si hay input()";"B";"else"
"29";"¿Qué símbolo debe ir al final de una línea con if condicion?";".";";";":";",";"C";"sintaxis"
"30";"¿Por qué es importante indentar el bloque debajo de if o else?";"Porque Python usa la indentación como parte de la sintaxis";"Porque mejora solo el color del código";"Porque convierte los valores en booleanos";"Porque evita usar print()";"A";"indentación"
